ticker,name,sector,cik,source
MTB,M&T Bank,Financials,36270,sp500
MPC,Marathon Petroleum,Energy,1510295,sp500
MAR,Marriott International,Consumer Discretionary,1048286,sp500
MRSH,Marsh McLennan,Financials,62709,sp500
MLM,Martin Marietta Materials,Materials,916076,sp500
MAS,Masco,Industrials,62996,sp500
MA,Mastercard,Financials,1141391,sp500
MKC,McCormick & Company,Consumer Staples,63754,sp500
MCD,McDonald's,Consumer Discretionary,63908,sp500
MCK,McKesson Corporation,Health Care,927653,sp500
MDT,Medtronic,Health Care,1613103,sp500
MRK,Merck & Co.,Health Care,310158,sp500
META,Meta Platforms,Communication Services,1326801,sp500
MET,MetLife,Financials,1099219,sp500
MTD,Mettler Toledo,Health Care,1037646,sp500
MGM,MGM Resorts,Consumer Discretionary,789570,sp500
MCHP,Microchip Technology,Information Technology,827054,sp500
MU,Micron Technology,Information Technology,723125,sp500
MSFT,Microsoft,Information Technology,789019,sp500
MAA,Mid-America Apartment Communities,Real Estate,912595,sp500
MRNA,Moderna,Health Care,1682852,sp500
TAP,Molson Coors Beverage Company,Consumer Staples,24545,sp500
MDLZ,Mondelez International,Consumer Staples,1103982,sp500
MPWR,Monolithic Power Systems,Information Technology,1280452,sp500
MNST,Monster Beverage,Consumer Staples,865752,sp500
MCO,Moody's Corporation,Financials,1059556,sp500
MS,Morgan Stanley,Financials,895421,sp500
MOS,Mosaic Company (The),Materials,1285785,sp500
MSI,Motorola Solutions,Information Technology,68505,sp500
MSCI,MSCI Inc.,Financials,1408198,sp500
NDAQ,"Nasdaq, Inc.",Financials,1120193,sp500
NTAP,NetApp,Information Technology,1002047,sp500
NFLX,Netflix,Communication Services,1065280,sp500
NEM,Newmont,Materials,1164727,sp500
NWSA,News Corp (Class A),Communication Services,1564708,sp500
NWS,News Corp (Class B),Communication Services,1564708,sp500
NEE,NextEra Energy,Utilities,753308,sp500
NKE,"Nike, Inc.",Consumer Discretionary,320187,sp500
NI,NiSource,Utilities,1111711,sp500
NDSN,Nordson Corporation,Industrials,72331,sp500
NSC,Norfolk Southern,Industrials,702165,sp500
NTRS,Northern Trust,Financials,73124,sp500
NOC,Northrop Grumman,Industrials,1133421,sp500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,1513761,sp500
NRG,NRG Energy,Utilities,1013871,sp500
NUE,Nucor,Materials,73309,sp500
NVDA,Nvidia,Information Technology,1045810,sp500
NVR,"NVR, Inc.",Consumer Discretionary,906163,sp500
NXPI,NXP Semiconductors,Information Technology,1413447,sp500
ORLY,O’Reilly Automotive,Consumer Discretionary,898173,sp500
OXY,Occidental Petroleum,Energy,797468,sp500
ODFL,Old Dominion,Industrials,878927,sp500
OMC,Omnicom Group,Communication Services,29989,sp500
ON,ON Semiconductor,Information Technology,1097864,sp500
OKE,Oneok,Energy,1039684,sp500
ORCL,Oracle Corporation,Information Technology,1341439,sp500
OTIS,Otis Worldwide,Industrials,1781335,sp500
PCAR,Paccar,Industrials,75362,sp500
PKG,Packaging Corporation of America,Materials,75677,sp500
PLTR,Palantir Technologies,Information Technology,1321655,sp500
PANW,Palo Alto Networks,Information Technology,1327567,sp500
PSKY,Paramount Skydance Corporation,Communication Services,2041610,sp500
PH,Parker Hannifin,Industrials,76334,sp500
PAYX,Paychex,Industrials,723531,sp500
PYPL,PayPal,Financials,1633917,sp500
PNR,Pentair,Industrials,77360,sp500
PEP,PepsiCo,Consumer Staples,77476,sp500
PFE,Pfizer,Health Care,78003,sp500
PCG,PG&E Corporation,Utilities,1004980,sp500
PM,Philip Morris International,Consumer Staples,1413329,sp500
PSX,Phillips 66,Energy,1534701,sp500
PNW,Pinnacle West Capital,Utilities,764622,sp500
PNC,PNC Financial Services,Financials,713676,sp500
POOL,Pool Corporation,Consumer Discretionary,945841,sp500
PPG,PPG Industries,Materials,79879,sp500
PPL,PPL Corporation,Utilities,922224,sp500
PFG,Principal Financial Group,Financials,1126328,sp500
PG,Procter & Gamble,Consumer Staples,80424,sp500
PGR,Progressive Corporation,Financials,80661,sp500
PLD,Prologis,Real Estate,1045609,sp500
PRU,Prudential Financial,Financials,1137774,sp500
PEG,Public Service Enterprise Group,Utilities,788784,sp500
PTC,PTC Inc.,Information Technology,857005,sp500
PSA,Public Storage,Real Estate,1393311,sp500
PHM,PulteGroup,Consumer Discretionary,822416,sp500
PWR,Quanta Services,Industrials,1050915,sp500
QCOM,Qualcomm,Information Technology,804328,sp500
DGX,Quest Diagnostics,Health Care,1022079,sp500
Q,Qnity Electronics,Information Technology,2058873,sp500
RL,Ralph Lauren Corporation,Consumer Discretionary,1037038,sp500
RJF,Raymond James Financial,Financials,720005,sp500
RTX,RTX Corporation,Industrials,101829,sp500
O,Realty Income,Real Estate,726728,sp500
REG,Regency Centers,Real Estate,910606,sp500
REGN,Regeneron Pharmaceuticals,Health Care,872589,sp500
RF,Regions Financial Corporation,Financials,1281761,sp500
RSG,Republic Services,Industrials,1060391,sp500
RMD,ResMed,Health Care,943819,sp500
RVTY,Revvity,Health Care,31791,sp500
HOOD,Robinhood Markets,Financials,1783879,sp500
ROK,Rockwell Automation,Industrials,1024478,sp500
ROL,"Rollins, Inc.",Industrials,84839,sp500
ROP,Roper Technologies,Information Technology,882835,sp500
ROST,Ross Stores,Consumer Discretionary,745732,sp500
RCL,Royal Caribbean Group,Consumer Discretionary,884887,sp500
SPGI,S&P Global,Financials,64040,sp500
CRM,Salesforce,Information Technology,1108524,sp500
SNDK,Sandisk,Information Technology,2023554,sp500
SBAC,SBA Communications,Real Estate,1034054,sp500
SLB,Schlumberger,Energy,87347,sp500
STX,Seagate Technology,Information Technology,1137789,sp500
SRE,Sempra,Utilities,1032208,sp500
NOW,ServiceNow,Information Technology,1373715,sp500
SHW,Sherwin-Williams,Materials,89800,sp500
SPG,Simon Property Group,Real Estate,1063761,sp500
SWKS,Skyworks Solutions,Information Technology,4127,sp500
SJM,J.M. Smucker Company (The),Consumer Staples,91419,sp500
SW,Smurfit Westrock,Materials,2005951,sp500
SNA,Snap-on,Industrials,91440,sp500
SOLV,Solventum,Health Care,1964738,sp500
SO,Southern Company,Utilities,92122,sp500
LUV,Southwest Airlines,Industrials,92380,sp500
SWK,Stanley Black & Decker,Industrials,93556,sp500
SBUX,Starbucks,Consumer Discretionary,829224,sp500
STT,State Street Corporation,Financials,93751,sp500
STLD,Steel Dynamics,Materials,1022671,sp500
STE,Steris,Health Care,1757898,sp500
SYK,Stryker Corporation,Health Care,310764,sp500
SMCI,Supermicro,Information Technology,1375365,sp500
SYF,Synchrony Financial,Financials,1601712,sp500
SNPS,Synopsys,Information Technology,883241,sp500
SYY,Sysco,Consumer Staples,96021,sp500
TMUS,T-Mobile US,Communication Services,1283699,sp500
TROW,T. Rowe Price,Financials,1113169,sp500
TTWO,Take-Two Interactive,Communication Services,946581,sp500
TPR,"Tapestry, Inc.",Consumer Discretionary,1116132,sp500
TRGP,Targa Resources,Energy,1389170,sp500
TGT,Target Corporation,Consumer Staples,27419,sp500
TEL,TE Connectivity,Information Technology,1385157,sp500
TDY,Teledyne Technologies,Information Technology,1094285,sp500
TER,Teradyne,Information Technology,97210,sp500
TSLA,"Tesla, Inc.",Consumer Discretionary,1318605,sp500
TXN,Texas Instruments,Information Technology,97476,sp500
TPL,Texas Pacific Land Corporation,Energy,1811074,sp500
TXT,Textron,Industrials,217346,sp500
TMO,Thermo Fisher Scientific,Health Care,97745,sp500
TJX,TJX Companies,Consumer Discretionary,109198,sp500
TKO,TKO Group Holdings,Communication Services,1973266,sp500
TTD,Trade Desk (The),Communication Services,1671933,sp500
TSCO,Tractor Supply,Consumer Discretionary,916365,sp500
TT,Trane Technologies,Industrials,1466258,sp500
TDG,TransDigm Group,Industrials,1260221,sp500
TRV,Travelers Companies (The),Financials,86312,sp500
TRMB,Trimble Inc.,Information Technology,864749,sp500
TFC,Truist Financial,Financials,92230,sp500
TYL,Tyler Technologies,Information Technology,860731,sp500
TSN,Tyson Foods,Consumer Staples,100493,sp500
USB,U.S. Bancorp,Financials,36104,sp500
UBER,Uber,Industrials,1543151,sp500
UDR,"UDR, Inc.",Real Estate,74208,sp500
ULTA,Ulta Beauty,Consumer Discretionary,1403568,sp500
UNP,Union Pacific Corporation,Industrials,100885,sp500
UAL,United Airlines Holdings,Industrials,100517,sp500
UPS,United Parcel Service,Industrials,1090727,sp500
URI,United Rentals,Industrials,1067701,sp500
UNH,UnitedHealth Group,Health Care,731766,sp500
UHS,Universal Health Services,Health Care,352915,sp500
VLO,Valero Energy,Energy,1035002,sp500
VEEV,Veeva Systems,Health Care,1393052,sp500
VTR,Ventas,Real Estate,740260,sp500
VLTO,Veralto,Industrials,1967680,sp500
VRSN,Verisign,Information Technology,1014473,sp500
VRSK,Verisk Analytics,Industrials,1442145,sp500
VZ,Verizon,Communication Services,732712,sp500
VRTX,Vertex Pharmaceuticals,Health Care,875320,sp500
VRT,Vertiv,Industrials,1674101,sp500
VTRS,Viatris,Health Care,1792044,sp500
VICI,Vici Properties,Real Estate,1705696,sp500
V,Visa Inc.,Financials,1403161,sp500
VST,Vistra Corp.,Utilities,1692819,sp500
VMC,Vulcan Materials Company,Materials,1396009,sp500
WRB,W. R. Berkley Corporation,Financials,11544,sp500
GWW,W. W. Grainger,Industrials,277135,sp500
WAB,Wabtec,Industrials,943452,sp500
WMT,Walmart,Consumer Staples,104169,sp500
DIS,Walt Disney Company (The),Communication Services,1744489,sp500
WBD,Warner Bros. Discovery,Communication Services,1437107,sp500
WM,Waste Management,Industrials,823768,sp500
WAT,Waters Corporation,Health Care,1000697,sp500
WEC,WEC Energy Group,Utilities,783325,sp500
WFC,Wells Fargo,Financials,72971,sp500
WELL,Welltower,Real Estate,766704,sp500
WST,West Pharmaceutical Services,Health Care,105770,sp500
WDC,Western Digital,Information Technology,106040,sp500
WY,Weyerhaeuser,Real Estate,106535,sp500
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,719955,sp500
WMB,Williams Companies,Energy,107263,sp500
WTW,Willis Towers Watson,Financials,1140536,sp500
WDAY,"Workday, Inc.",Information Technology,1327811,sp500
WYNN,Wynn Resorts,Consumer Discretionary,1174922,sp500
XEL,Xcel Energy,Utilities,72903,sp500
XYL,Xylem Inc.,Industrials,1524472,sp500
YUM,Yum! Brands,Consumer Discretionary,1041061,sp500
ZBRA,Zebra Technologies,Information Technology,877212,sp500
ZBH,Zimmer Biomet,Health Care,1136869,sp500
ZTS,Zoetis,Health Care,1555280,sp500
TSM,Taiwan Semiconductor (ADR),Information Technology,,adr
ASML,ASML Holding (ADR),Information Technology,,adr
ARM,Arm Holdings (ADR),Information Technology,,adr
SAP,SAP SE (ADR),Information Technology,,adr
NVO,Novo Nordisk (ADR),Health Care,,adr
AZN,AstraZeneca (ADR),Health Care,,adr
TM,Toyota Motor (ADR),Consumer Discretionary,,adr
SONY,Sony Group (ADR),Consumer Discretionary,,adr
MELI,MercadoLibre,Consumer Discretionary,,adr
SE,Sea Limited (ADR),Communication Services,,adr
SHOP,Shopify,Information Technology,,adr
NU,Nu Holdings,Financials,,adr
